log_id,timestamp,user,module,action,description
940786a1,2025-06-28 06:35:46,port_user,VesselRegistry,DELETE,Performed UPDATE operation on PreArrival module.
b9203cfe,2025-06-28 18:35:46,admin01,PortCall,REJECT,Performed APPROVE operation on VesselRegistry module.
852faba3,2025-07-04 14:35:46,supervisor,CargoDeclaration,CREATE,Performed EXPORT operation on PortCall module.
1487e9cf,2025-07-04 14:35:46,dockmaster,PortCall,REJECT,Performed APPROVE operation on Dashboard module.
021fcdb8,2025-06-29 10:35:46,admin01,CargoDeclaration,CREATE,Performed REJECT operation on PassengerList module.
5650b83c,2025-07-02 13:35:46,inspector,Dashboard,CREATE,Performed UPDATE operation on CargoDeclaration module.
ce7fa770,2025-06-29 03:35:46,agent_652,CargoDeclaration,APPROVE,Performed APPROVE operation on CrewManifest module.
426ddb8a,2025-07-03 07:35:46,agent_652,PassengerList,CREATE,Performed UPDATE operation on Dashboard module.
7f9d31e2,2025-06-29 05:35:46,inspector,VesselRegistry,CREATE,Performed DELETE operation on CargoDeclaration module.
527c0f7f,2025-07-02 19:35:46,supervisor,Dashboard,UPDATE,Performed VIEW operation on VesselRegistry module.
2ff2183a,2025-07-04 05:35:46,port_user,CrewManifest,DELETE,Performed REJECT operation on PassengerList module.
23602a9b,2025-06-28 22:35:46,agent_652,CargoDeclaration,UPDATE,Performed VIEW operation on PortCall module.
15737712,2025-07-01 15:35:46,dockmaster,Dashboard,DELETE,Performed REJECT operation on PreArrival module.
d59f4186,2025-06-29 01:35:46,admin01,PassengerList,REJECT,Performed REJECT operation on VesselRegistry module.
c715e3f0,2025-07-04 11:35:46,agent_652,PreArrival,CREATE,Performed CREATE operation on PreArrival module.
b355a01f,2025-07-04 21:35:46,supervisor,VesselRegistry,APPROVE,Performed CREATE operation on PreArrival module.
3c8cb8da,2025-07-02 08:35:46,supervisor,CargoDeclaration,VIEW,Performed APPROVE operation on PassengerList module.
33d2a721,2025-07-03 16:35:46,supervisor,CrewManifest,APPROVE,Performed VIEW operation on PortCall module.
94c9d73f,2025-07-05 05:35:46,admin01,CargoDeclaration,DELETE,Performed APPROVE operation on CrewManifest module.
240daf06,2025-07-02 09:35:46,agent_652,VesselRegistry,APPROVE,Performed REJECT operation on PassengerList module.
6971ed92,2025-07-03 06:35:46,admin01,PassengerList,VIEW,Performed DELETE operation on CrewManifest module.
650ee96c,2025-06-30 08:35:46,auditor,CargoDeclaration,VIEW,Performed EXPORT operation on Dashboard module.
fdfef697,2025-06-30 08:35:46,port_user,PassengerList,VIEW,Performed UPDATE operation on Dashboard module.
f510ab4d,2025-06-30 16:35:46,port_user,PortCall,CREATE,Performed VIEW operation on CargoDeclaration module.
2039a9ec,2025-06-29 17:35:46,supervisor,VesselRegistry,VIEW,Performed CREATE operation on PassengerList module.
e84ebd33,2025-07-05 07:35:46,agent_652,CargoDeclaration,DELETE,Performed DELETE operation on CargoDeclaration module.
1f7b8469,2025-06-29 23:35:46,dockmaster,PassengerList,REJECT,Performed REJECT operation on VesselRegistry module.
73ff30ee,2025-07-03 22:35:46,inspector,PreArrival,APPROVE,Performed DELETE operation on PreArrival module.
d18fbbdf,2025-06-28 10:35:46,auditor,VesselRegistry,DELETE,Performed DELETE operation on PassengerList module.
c1ac326b,2025-06-30 06:35:46,auditor,CargoDeclaration,APPROVE,Performed CREATE operation on PassengerList module.
f367ca35,2025-07-04 03:35:46,inspector,Dashboard,DELETE,Performed UPDATE operation on VesselRegistry module.
14b997f2,2025-07-01 19:35:46,agent_652,VesselRegistry,UPDATE,Performed CREATE operation on CargoDeclaration module.
49352e15,2025-07-01 10:35:46,auditor,VesselRegistry,VIEW,Performed EXPORT operation on PortCall module.
09677387,2025-07-04 15:35:46,port_user,CrewManifest,UPDATE,Performed EXPORT operation on PortCall module.
3c73627f,2025-07-04 20:35:46,port_user,CrewManifest,DELETE,Performed APPROVE operation on VesselRegistry module.
fb1bfb96,2025-06-30 00:35:46,agent_652,CargoDeclaration,APPROVE,Performed EXPORT operation on PassengerList module.
